ECG-mV,EMG-mV,foot_GSR-mV,hand_GSR-mV,HR-bpm,marker-mV,RESP-mV,is_valid
-0.06715320264198611,0.373,1.4262219046282272,5.114907512090556,89.0,12.48,0.7096576933668755,True
-0.010901158721056705,0.249,1.4262219046282272,5.052907512090553,89.0,12.48,0.4149589643274578,True
-0.10597832769419167,0.352,1.4222219046282287,4.9859075120905505,89.0,12.48,0.1507600473641597,True
0.18158557606013975,0.456,1.417221904628224,4.923907512090546,89.0,12.48,-0.2229500846967789,True
-0.008258673541317263,0.414,1.410221904628221,4.862907512090548,89.0,12.48,-0.5361826185630831,True
0.07542100316750383,0.29,1.401221904628221,4.806907512090549,89.0,12.48,-0.8589488971896686,True
0.13253950044157478,0.311,1.3872219046282277,4.751907512090555,89.0,12.48,-1.1312604164192441,True
0.21899669436093783,0.249,1.372221904628226,4.700907512090555,75.0,12.48,-1.3931288215519126,True
-0.00631978893500516,0.311,1.355221904628229,4.653907512090549,75.0,12.48,-1.5545659038455129,True
-0.10253128423485551,0.331,1.3382219046282289,4.608907512090554,75.0,12.48,-1.635583596948111,True
-0.10976437807649016,0.601,1.3002219046282308,4.528907512090551,75.0,12.48,-1.8161939732642667,True
-0.0761468972147664,0.477,1.2992219046282243,4.524907512090549,75.0,12.48,-1.7464092402566882,True
-0.11580372589789226,0.456,1.2802219046282237,4.489907512090543,75.0,12.48,-1.8162417366845856,True
-0.177852592085565,0.601,1.2632219046282234,4.456907512090554,75.0,12.48,-1.8357039287802719,True
0.16960003304440624,0.87,1.2542219046282228,4.424907512090553,75.0,12.48,-1.7648084063653795,True
-0.11053722128764885,0.912,1.2462219046282283,4.394907512090555,75.0,12.48,-1.5735678789079892,True
-0.00933717654265077,0.849,1.238221904628223,4.364907512090545,75.0,12.48,-1.2719951715219793,True
0.14814882219060338,0.725,1.2332219046282233,4.336907512090548,89.0,12.48,-0.9101032209098414,True
0.08189319942571481,0.787,1.2302219046282283,4.307907512090545,89.0,12.48,-0.4679050712500826,True
