ECG-mV,EMG-mV,foot_GSR-mV,hand_GSR-mV,HR-bpm,marker-mV,RESP-mV
-0.04983236876834802,0.25375,3.364992492589664,-0.3462218698629232,89.0,9.02,-0.16380602056000315
-0.12242936073695818,0.16575,3.3439924925896687,-0.3692218698629077,89.0,9.02,-0.18400725814813734
-0.15689430531083323,0.264125,3.3219924925896684,-0.389221869862931,89.0,9.02,-0.17420575208114314
0.9207535870117988,0.3315,3.3019924925896746,-0.409221869862917,89.0,9.02,-0.1743998377043099
-0.07950868686713891,0.26675,3.2819924925896657,-0.4282218698629285,89.0,9.02,-0.18458785462346422
-0.1077068841132857,0.119125,3.2629924925896674,-0.44722186986292,85.0,9.02,-0.19476814744844134
-0.0358683953728414,0.013,3.245992492589666,-0.46322186986292146,85.0,9.02,-0.21493906653479633
0.1339789136450052,0.357375,3.229992492589667,-0.48022186986292426,85.0,9.02,-0.1550989687231914
0.060807853328100354,0.36,3.2129924925896707,-0.49722186986293204,85.0,9.02,-0.0752462180758402
-0.08940699018623423,0.398875,3.1979924925896683,-0.5142218698629206,85.0,9.02,0.07462081339058263
-0.10368824862099882,0.158,3.182992492589669,-0.5292218698629132,85.0,9.02,0.1645037449762471
-0.10205489613995133,0.158,3.1689924925896658,-0.5442218698629255,85.0,9.02,0.18440418657417845
-0.0975215371742368,0.3885,3.15599249258967,-0.5592218698629139,85.0,9.02,0.34432373795175497
-0.09309788316661895,0.321125,3.1419924925896687,-0.5732218698629256,85.0,9.02,0.42426398803810084
-0.0927884363874282,0.256375,3.1299924925896714,-0.5862218698629159,85.0,9.02,0.3742265142182011
-0.07059239083684837,0.0285,3.1169924925896715,-0.5992218698629207,85.0,9.02,0.304212881634178
-0.014503751799085788,0.02325,3.104992492589666,-0.610221869862923,80.0,9.02,0.2942246424945168
-0.09251166717763559,0.22275,3.0939924925896634,-0.6232218698629198,80.0,9.02,0.31426333539162066
-0.132600955637103,0.227875,3.0829924925896655,-0.633221869862924,80.0,9.02,0.2943304846283811
0.9182471908889963,0.0285,3.0739924925896673,-0.6442218698629336,80.0,9.02,0.22442759955428437
-0.051945640685709144,0.0285,3.064992492589668,-0.6552218698629355,80.0,9.02,0.2045561739117702
-0.10015604348066946,0.163125,3.0549924925896725,-0.6662218698629196,80.0,9.02,0.19471768519318897
-0.038359822111031,0.25125,3.04499249258967,-0.6772218698629044,80.0,9.02,0.1649135940090249
0.12546694421515617,0.15025,3.0379924925896677,-0.6872218698629259,80.0,9.02,0.2051453434678327
0.08434684886094126,0.305625,3.029992492589668,-0.6952218698629201,80.0,9.02,0.3554143585684997
-0.087699843581507,0.3185,3.0199924925896737,-0.7052218698629226,80.0,9.02,0.5157220456053528
-0.10565610814330861,0.370375,3.0129924925896745,-0.7152218698629171,80.0,9.02,0.6960697915866142
-0.1015089445611695,0.401375,3.0049924925896687,-0.7252218698629261,80.0,9.02,0.8764589636666841
-0.0962500063494699,0.341875,2.9999924925896653,-0.7352218698629317,80.0,9.02,1.1068909085927443
-0.09787604978582115,0.264125,2.9919924925896657,-0.7422218698629282,80.0,9.02,1.3973669521662764
-0.09838918577719011,0.38075,2.98699249258967,-0.752221869862927,80.0,9.02,1.6078883987198411
-0.09279692522092911,0.38075,2.979992492589667,-0.7602218698629357,80.0,9.02,1.7484565306096378
-0.022112016428933637,0.385875,2.9729924925896634,-0.7682218698629295,80.0,9.02,1.8790726077241928
-0.08335208113673291,0.292625,2.9669924925896654,-0.7752218698629292,80.0,9.02,1.9497378670095666
-0.11353906326771557,0.196875,2.9619924925896663,-0.7842218698629289,80.0,9.02,1.970453522011355
0.7263014883253025,0.018125,2.9569924925896656,-0.792221869862922,80.0,9.02,1.9312207624338664
0.09914127572960467,0.031125,2.951992492589665,-0.7992218698629368,80.0,9.02,1.8020407537166079
-0.11004978605382874,0.025875,2.946992492589669,-0.807221869862919,80.0,9.02,1.6129146366283003
-0.06130253735358718,0.02325,2.9419924925896686,-0.8142218698629254,80.0,9.02,1.3938435268784954
0.08035248899565817,0.02325,2.9389924925896658,-0.8222218698629222,80.0,9.02,1.1748285147468733
0.13488612193126492,0.38075,2.9349924925896613,-0.8282218698629251,81.0,9.02,1.0058706647303137
-0.06672844108996992,0.370375,2.929992492589666,-0.8352218698629347,81.0,9.02,0.8769710152074566
-0.104514711747165,0.32375,2.924992492589667,-0.8422218698629403,81.0,9.02,0.7481305781210437
-0.1054921062793227,0.163125,2.921992492589663,-0.8482218698629287,81.0,9.02,0.6093503386775683
-0.10067528729101462,0.018125,2.916992492589665,-0.8552218698629276,81.0,9.02,0.48063125506442006
-0.10007367474761826,0.031125,2.9139924925896663,-0.8622218698629283,81.0,9.02,0.34197425818413774
-0.10269114234321831,0.02325,2.9099924925896667,-0.8692218698629217,81.0,9.02,0.22338025140570406
-0.08952590824352327,0.02075,2.9059924925896694,-0.8752218698629238,81.0,9.02,0.1548501103325477
-0.020570621752287296,0.018125,2.9039924925896665,-0.8822218698629212,81.0,9.02,0.12638468258715774
-0.09081264001419426,0.303,2.8999924925896687,-0.8872218698629206,81.0,9.02,0.09798478761215468
-0.12023448173860002,0.36,2.8979924925896614,-0.8922218698629262,81.0,9.02,0.049651216487412775
0.8591855616187366,0.29,2.8939924925896667,-0.895221869862931,81.0,9.02,0.031384731763071994
0.004472682495095996,0.17875,2.889992492589663,-0.9002218698629296,75.0,9.02,0.033186067308172085
-0.09934528836933725,0.38075,2.8879924925896665,-0.9022218698629194,75.0,9.02,0.02505592817476021
