ECG-mV,EMG-mV,foot_GSR-mV,hand_GSR-mV,HR-bpm,marker-mV,RESP-mV,is_valid
5.162629881639821,0.35475,1.1327267742917997,0.4400807188547027,59.0,16.63,-0.34744410608010906,True
4.279673775115898,0.305625,1.1287267742918021,0.43808071885470234,56.0,16.6,-0.4162403594865216,True
3.6488653887096425,0.372875,1.1277267742917996,0.4350807188547009,56.0,16.63,-0.5350571092336155,True
3.0282855671288926,0.3755,1.1237267742918025,0.432080718854702,56.0,16.64,-0.7238945104014891,True
2.416970796527871,0.2305,1.1217267742918013,0.43008071885469995,56.0,16.6,-0.8427527078066901,True
1.8376593873911256,0.16575,1.1187267742918028,0.42708071885469995,56.0,16.59,-0.9116318359002653,True
1.2945453889681338,0.362625,1.117726774291804,0.4250807188547002,56.0,16.63,-0.9605320186745643,True
0.7950483672872355,0.271875,1.1127267742917983,0.42008071885470205,56.0,16.62,-0.9194533695790592,True
0.3496066175257069,0.25375,1.111726774291805,0.41808071885470416,56.0,16.59,-0.9183959914453903,True
0.0025005603654711765,0.119125,1.1087267742918003,0.4160807188547034,56.0,16.6,-0.9873599764218957,True
-0.3962879787932225,0.160625,1.106726774291803,0.41308071885470354,56.0,16.63,-0.9663454059177291,True
-0.6661761509953469,0.372875,1.1047267742918052,0.4110807188547025,56.0,16.62,-0.915352350556832,True
-0.5460370571489406,0.27975,1.1027267742918039,0.407080718854702,56.0,16.62,-0.9543808701417414,True
-0.9662117310267767,0.196875,1.0997267742918058,0.40608071885470354,56.0,16.62,-0.9534310136275354,True
-0.9924760786260333,0.199375,1.096726774291799,0.40308071885470237,56.0,16.62,-0.9125028191057886,True
-0.8999642400985004,0.227875,1.0957267742918029,0.4000807188547021,56.0,16.62,-0.891596313798688,True
-0.8240512966616101,0.199375,1.0927267742918017,0.3980807188547033,56.0,16.62,-0.910711514063415,True
-1.0881995872902563,0.227875,1.0907267742918048,0.39508071885470547,56.0,16.62,-0.9198484254065354,True
-1.0467740824634328,0.163125,1.0867267742918054,0.3920807188547046,56.0,16.62,-0.8890070425087077,True
-0.9128332447689632,0.227875,1.0857267742918018,0.39008071885470325,56.0,16.62,-0.9181873492593473,True
-0.7729025561892978,0.160625,1.082726774291803,0.3870807188547064,56.0,16.6,-1.0673893188012833,True
-0.6127383854062284,0.227875,1.0807267742917992,0.38508071885470296,56.0,16.6,-1.10661291358541,True
-0.4390900908329446,0.328875,1.077726774291804,0.3820807188547032,56.0,16.59,-1.0858580854349666,True
-0.262468201464471,0.22525,1.0757267742918037,0.3800807188547036,56.0,16.59,-1.085124775619475,True
-0.08492619306696525,0.227875,1.0727267742918019,0.3760807188547032,56.0,16.58,-1.054412914938063,True
0.12813720366170134,0.2745,1.0707267742918016,0.3750807188547034,56.0,16.59,-1.0237224238119647,True
0.22614903991850457,0.227875,1.0677267742918009,0.3710807188547041,56.0,16.59,-1.0130532123859937,True
0.3445014222101439,0.328875,1.0657267742918037,0.37008071885470256,56.0,16.57,-0.9624051806385288,True
0.8026550911899133,0.36775,1.061726774291799,0.3660807188547034,56.0,16.56,-0.8117782184999798,True
0.6012046707597668,0.29525,1.0607267742918034,0.3630807188547056,56.0,16.58,-0.5611722059791039,True
0.7139043195442636,0.1165,1.0577267742918035,0.3610807188547049,56.0,16.6,-0.3705870132969865,True
0.8676539058856939,0.02325,1.0557267742918026,0.36008071885470105,56.0,16.59,-0.15002250102825465,True
0.9444471887157997,0.31075,1.0527267742918003,0.3580807188547033,56.0,16.59,0.08052147975090718,True
0.5842847720694192,0.362625,1.0507267742918005,0.35408071885470377,56.0,16.59,0.2910450873083701,True
0.4560557660320763,0.227875,1.0467267742918036,0.3530807188546998,57.0,16.59,0.5015484890957924,True
0.38039309191702125,0.1165,1.0457267742918002,0.350080718854702,57.0,16.58,0.6820318615828154,True
0.2785081811305941,0.2745,1.0427267742918025,0.3480807188547036,57.0,16.6,0.8224953900862715,True
0.16901140964302205,0.313375,1.0417267742918008,0.34408071885470354,57.0,16.6,0.9929392685947493,True
0.05672496566468118,0.29525,1.0377267742918057,0.3430807188547012,57.0,16.6,1.1433636995889755,True
