ECG-mV,EMG-mV,foot_GSR-mV,hand_GSR-mV,HR-bpm,marker-mV,RESP-mV,Stress
-0.0605444308714446,0.311,-1.9363483834268185,-1.1380403746428185,70.0,83.8,-0.6169280950358258,relax
-0.0433292781414922,0.207,-1.9363483834268205,-1.1440403746428225,70.0,65.62,-0.5668399063776984,relax
-0.049328010834511,0.352,-1.9373483834268137,-1.151040374642812,70.0,20.35,-0.5267799243528265,relax
-0.0815443629343329,0.249,-1.938348383426824,-1.1570403746428182,70.0,16.62,-0.4867481492895567,relax
0.2350239106853426,0.808,-1.9403483834268276,-1.1620403746428265,70.0,16.3,-0.4367445698750796,relax
-0.0326147709975111,0.311,-1.9423483834268176,-1.167040374642822,70.0,16.32,-0.3567691631700944,relax
-0.0094458143605039,0.249,-1.9453483834268188,-1.1720403746428276,70.0,17.81,-0.2968218946302342,relax
0.0585513527679166,0.269,-1.9483483834268256,-1.1790403746428246,68.0,22.66,-0.2269027181338254,relax
0.1714028920026334,0.29,-1.9503483834268225,-1.1840403746428263,68.0,51.29,-0.1470115760159916,relax
0.0051399828685807,0.249,-1.9523483834268165,-1.1890403746428242,68.0,68.76,-0.0871483991087033,relax
-0.059201914228907,0.249,-1.9563483834268187,-1.194040374642828,68.0,78.98,-0.0173131067865229,relax
-0.0465839378418726,0.29,-1.9573483834268215,-1.2010403746428222,68.0,80.37,0.0324943929820483,relax
-0.0569648204815781,0.249,-1.9603483834268207,-1.2070403746428242,68.0,65.8,0.0422742035779997,relax
-0.0683019671658347,0.228,-1.961348383426815,-1.2130403746428249,68.0,29.11,0.0720264396702637,relax
-0.0405525830427934,0.249,-1.962348383426814,-1.2190403746428162,68.0,18.92,0.1217512271493554,relax
-0.0856748139959546,0.249,-1.965348383426823,-1.2240403746428234,68.0,16.36,0.181448703056533,relax
-0.0306288637872353,0.539,-1.9673483834268155,-1.2290403746428116,68.0,15.31,0.2511190155086529,relax
0.1606219477686243,0.58,-1.9713483834268268,-1.2340403746428308,68.0,14.96,0.310762323619119,relax
-0.0098897810739945,0.269,-1.972348383426814,-1.239040374642817,68.0,14.77,0.3703787974150293,relax
0.0128636224206028,0.269,-1.975348383426816,-1.2440403746428137,68.0,14.71,0.4499686177507245,relax
0.0949042098073299,0.228,-1.9773483834268253,-1.249040374642819,68.0,14.49,0.5095319762181713,relax
0.1272478841434939,0.228,-1.9813483834268175,-1.254040374642826,68.0,14.47,0.5790690750541769,relax
-0.053095944438962,0.228,-1.9843483834268096,-1.2590403746428116,68.0,14.39,0.6285801270448235,relax
-0.0591245120437756,0.249,-1.9903483834268196,-1.26804037464282,73.0,14.38,0.6880653554271898,relax
-0.0528416614957136,0.249,-1.9883483834268216,-1.2690403746428218,73.0,14.31,0.6875249937886183,relax
-0.064257614780412,0.228,-1.991348383426819,-1.2740403746428206,73.0,14.28,0.6969592859637561,relax
-0.0383885684362351,0.311,-1.995348383426816,-1.2790403746428192,73.0,14.25,0.7163684859293767,relax
-0.0912561286227753,0.269,-1.996348383426821,-1.2840403746428144,73.0,14.32,0.7357528576971821,relax
0.1621133923739649,0.642,-1.9983483834268163,-1.2890403746428205,73.0,14.28,0.7351126752048012,relax
-0.0103102077321506,0.518,-2.001348383426816,-1.2940403746428222,73.0,14.22,0.7144482222049243,relax
-0.0375601215726211,0.311,-2.0033483834268213,-1.29804037464283,73.0,14.13,0.6937597921527041,relax
0.0083284198829004,0.228,-2.0053483834268198,-1.3010403746428214,79.0,13.86,0.6530476880914821,relax
0.1203191195897807,0.311,-2.0083483834268194,-1.3060403746428162,79.0,13.88,0.622312222536852,relax
0.080375575093555,0.29,-2.0113483834268227,-1.3110403746428183,79.0,13.86,0.5915537173591014,relax
-0.0645378028852017,0.29,-2.012348383426821,-1.3130403746428232,79.0,13.8,0.5607725036640049,relax
-0.0534549420031631,0.249,-2.0133483834268118,-1.317040374642812,79.0,13.72,0.5299689216719832,relax
-0.0504073546756358,0.249,-2.0163483834268208,-1.3210403746428234,79.0,13.72,0.4591433205955271,relax
-0.0564234998217231,0.29,-2.018348383426822,-1.3230403746428203,79.0,13.67,0.3782960585148719,relax
-0.041528275732706,0.269,-2.01934838342682,-1.3270403746428194,79.0,13.66,0.3374275022518133,relax
-0.0867426546239797,0.207,-2.0233483834268204,-1.3280403746428229,79.0,13.58,0.2965380272415525,relax
0.2309165359861988,0.704,-2.025348383426825,-1.3270403746428243,79.0,13.53,0.2556280174025245,relax
-0.0515633146466682,0.414,-2.0273483834268307,-1.3270403746428243,79.0,13.52,0.2146978650040811,relax
-0.0301906694502235,0.29,-2.029348383426816,-1.328040374642819,79.0,13.56,0.1537479705318537,relax
0.0290299568254499,0.269,-2.032348383426815,-1.329040374642819,78.0,13.6,0.1027787425507698,relax
0.1510976819159134,0.249,-2.034348383426817,-1.3290403746428254,78.0,13.49,0.0417905975654112,relax
0.0370148424985933,0.269,-2.0353483834268205,-1.3290403746428192,78.0,13.48,-0.0092160401222118,relax
-0.0592134962536781,0.269,-2.038348383426828,-1.3290403746428203,78.0,13.49,-0.0702407385578627,relax
-0.0485800852262582,0.331,-2.038348383426821,-1.3280403746428169,78.0,13.45,-0.121283058283157,relax
-0.0500760663255793,0.29,-2.0403483834268097,-1.327040374642809,78.0,13.43,-0.2223425524869372,relax
-0.060691554198642,0.269,-2.0403483834268075,-1.3270403746428163,78.0,13.43,-0.2934187671598298,relax
-0.0334162020149035,0.249,-2.040348383426821,-1.3270403746428283,78.0,13.41,-0.3445112412523279,relax
-0.0892397304183923,0.249,-2.0403483834268217,-1.326040374642818,78.0,13.39,-0.3756195068365118,relax
0.1948475986978488,0.601,-2.0403483834268155,-1.3270403746428217,78.0,13.37,-0.4067430892715137,relax
-0.0371454212152288,0.518,-2.039348383426821,-1.3270403746428252,78.0,13.36,-0.4278815073729142,relax
-0.0382112628351515,0.207,-2.03934838342682,-1.3280403746428282,78.0,13.33,-0.4490342735860934,relax
0.0116561031376334,0.331,-2.040348383426817,-1.3320403746428136,76.0,13.32,-0.4502008941637037,relax
0.1324610692533918,0.269,-2.0403483834268057,-1.334040374642814,76.0,13.31,-0.4813808693474091,relax
0.0772063453326063,0.311,-2.0403483834268155,-1.338040374642819,76.0,13.28,-0.492573693553972,relax
-0.0581069989979305,0.269,-2.0403483834268217,-1.3460403746428278,76.0,13.27,-0.513778855565773,relax
-0.0464794109331814,0.269,-2.0403483834268155,-1.348040374642822,76.0,13.26,-0.5349958387257203,relax
-0.0529126609280526,0.228,-2.040348383426817,-1.3510403746428186,76.0,13.25,-0.5762241211367767,relax
-0.0594095919644279,0.228,-2.0403483834268186,-1.3560403746428198,76.0,13.23,-0.6474631758658829,relax
-0.0369738263685332,0.29,-2.0433483834268187,-1.3610403746428186,76.0,13.22,-0.6587124711526224,relax
-0.0646094458862413,0.249,-2.042348383426821,-1.366040374642821,76.0,13.21,-0.669971470622409,relax
-0.0853206609791667,0.414,-2.043348383426814,-1.372040374642829,76.0,13.2,-0.6712396335043147,relax
0.2348885151534942,0.684,-2.0423483834268223,-1.38204037464282,76.0,13.2,-0.6725164148533654,relax
-0.0409854265548695,0.311,-2.042348383426825,-1.3820403746428322,76.0,13.19,-0.6738012657774024,relax
-0.0149452159468074,0.331,-2.044348383426823,-1.3880403746428236,76.0,13.17,-0.6650936336683793,relax
0.0670074292019738,0.352,-2.045348383426822,-1.3930403746428182,74.0,13.16,-0.6563929624380064,relax
0.1648719858780584,0.331,-2.0453483834268136,-1.3980403746428154,74.0,13.15,-0.647698692757716,relax
-0.0183507467097287,0.249,-2.045348383426816,-1.403040374642824,74.0,13.15,-0.6390102623026614,relax
-0.0516585770830536,0.269,-2.045348383426818,-1.4080403746428174,74.0,13.14,-0.6203271059998163,relax
-0.04104790816441,0.249,-2.0483483834268115,-1.4150403746428142,74.0,13.12,-0.621648656279844,relax
-0.0495137772701167,0.269,-2.0483483834268177,-1.4180403746428174,74.0,13.11,-0.6529743433326607,relax
-0.0600499436257303,0.269,-2.050348383426828,-1.4240403746428278,74.0,13.1,-0.6643035953664271,relax
-0.0296490155982777,0.249,-2.0523483834268137,-1.430040374642818,74.0,13.1,-0.6156358388698403,relax
