ECG-mV,EMG-mV,foot_GSR-mV,hand_GSR-mV,HR-bpm,marker-mV,RESP-mV,is_valid,Stress
-0.0483939871027268,0.994,-0.0977780953717776,1.0519075120905466,64.0,14.82,1.5409494615183932,True,relax
-0.0014467549287961,1.409,-0.0997780953717723,1.0669075120905482,64.0,13.28,1.871070153677119,True,relax
-0.0827454201412666,2.424,-0.1027780953717765,1.07490751209055,64.0,13.03,2.1412456901864374,True,relax
0.2658223264156328,2.901,-0.1047780953717736,1.0779075120905524,64.0,12.58,2.4214768877920165,True,relax
-0.1196429310921675,1.637,-0.1077780953717789,1.0739075120905466,64.0,12.47,2.7117645546942737,True,relax
0.011943161143431,3.087,-0.1087780953717769,1.0689075120905511,64.0,12.34,3.0421094900542136,True,relax
0.1216444568976539,1.761,-0.1097780953717759,1.0659075120905463,64.0,12.61,3.38251248350999,True,relax
0.2475004495486564,4.289,-0.1127780953717781,1.057907512090548,64.0,12.18,3.782974314704763,True,relax
0.0015229856587563,3.688,-0.1167780953717716,1.0519075120905474,64.0,12.31,3.963495752826396,True,relax
-0.0803062982776682,3.916,-0.1177780953717827,1.0419075120905388,73.0,12.28,4.004077556159411,True,relax
-0.0830376880691707,4.807,-0.1197780953717766,1.0269075120905455,73.0,12.06,3.844720471649576,True,relax
-0.0987541518214015,5.387,-0.1227780953717729,1.011907512090554,73.0,12.14,3.6554252344813634,True,relax
-0.0955710774423109,4.807,-0.1247780953717784,1.0059075120905512,73.0,12.48,3.446192567668332,True,relax
-0.0666349516564768,7.769,-0.1287780953717723,1.0029075120905435,73.0,12.48,3.127023181656546,True,relax
-0.1461209808316671,4.765,-0.1337780953717715,0.99790751209055,73.0,12.5,2.6979177739408664,True,relax
0.2127703090150794,4.869,-0.1367780953717758,0.9879075120905476,73.0,12.4,2.1988770286939925,True,relax
-0.1581825808188706,8.681,-0.1387780953717813,0.9769075120905468,73.0,12.38,1.6999016164079408,True,relax
-0.0152169362105179,10.256,-0.1417780953717732,0.9759075120905522,73.0,12.39,1.220992193547581,True,relax
0.1094200540369337,4.454,-0.1457780953717721,0.98090751209055,77.0,12.48,0.6821494022157637,True,relax
0.2054777143295338,8.246,-0.1507780953717701,0.9809075120905548,77.0,12.54,0.2833738698295609,True,relax
-0.0162913582190654,11.188,-0.1547780953717777,0.9779075120905456,77.0,12.59,-0.0253337911929203,True,relax
-0.0781243949332438,3.294,-0.1557780953717741,0.973907512090543,77.0,12.58,-0.3639729837357994,True,relax
-0.0582416300541248,7.562,-0.1567780953717748,0.967907512090548,77.0,12.8,-0.812543126279357,True,relax
-0.0658397627564633,9.613,-0.1597780953717779,0.9639075120905448,77.0,13.09,-1.2510436531852167,True,relax
-0.04808591514895,5.843,-0.1597780953717774,0.960907512090544,77.0,13.16,-1.459474014973464,True,relax
0.0048877181807173,3.957,-0.1637780953717743,0.9569075120905453,77.0,13.56,-1.577833678592259,True,relax
-0.0810116468845858,2.693,-0.1647780953717777,0.949907512090552,77.0,12.99,-1.7461221276806174,True,relax
0.2651660811607403,6.775,-0.1657780953717805,0.9599075120905458,77.0,12.88,-1.9443388628248224,True,relax
-0.1365838026221836,2.714,-0.1667780953717773,0.9579075120905516,77.0,13.34,-2.1124834018090084,True,relax
0.0167803066931005,2.838,-0.1697780953717757,0.9539075120905436,77.0,13.45,-2.170555279860455,True,relax
0.1473461621482895,2.693,-0.1697780953717783,0.9509075120905488,77.0,13.36,-2.168554049889944,True,relax
0.2442462282630155,4.641,-0.171778095371775,0.9489075120905536,77.0,13.37,-2.176479282727541,True,relax
-0.0073449974244748,8.018,-0.1747780953717711,0.94490751209055,77.0,13.26,-2.2243305673541838,True,relax
-0.0762148327667991,1.865,-0.1767780953717758,0.942907512090546,77.0,13.82,-2.1921075111292767,True,relax
-0.0681173210986952,1.823,-0.1807780953717783,0.9389075120905536,77.0,14.14,-2.199809740014504,True,relax
