ECG-mV,EMG-mV,foot_GSR-mV,hand_GSR-mV,HR-bpm,marker-mV,RESP-mV,Stress
-0.0353973436610147,0.186,5.996852934520716,9.052796520373253,99.0,28.24,1.9530938670020777,relax
-0.1054962532701169,0.166,6.042852934520719,8.99479652037326,99.0,24.05,1.6269701906493297,relax
0.1932842529537678,0.29,6.169852934520725,8.932796520373275,99.0,19.18,1.370956936412568,relax
-0.1010296767885554,0.186,6.288852934520721,8.867796520373263,99.0,15.65,1.1050533369638351,relax
0.0345924328971267,0.186,6.340852934520719,8.795796520373246,99.0,14.2,0.839258605138386,relax
0.210185270187013,0.145,6.3988529345207255,8.725796520373253,96.0,14.14,0.4635719346136182,relax
0.106787429134242,0.124,6.423852934520722,8.65779652037327,96.0,13.87,0.1079925005909756,relax
-0.077559090308367,0.145,6.441852934520719,8.581796520373237,96.0,13.5,-0.1974805395201384,relax
-0.0758095680336578,0.166,6.455852934520726,8.517796520373262,96.0,13.21,-0.492848045417279,relax
-0.0809174202975296,0.145,6.461852934520713,8.475796520373255,96.0,13.16,-0.8081108932196261,relax
-0.043835204807231,0.166,6.481852934520722,8.407796520373251,96.0,13.19,-1.173269974783356,relax
-0.1155157457368886,0.145,6.483852934520718,8.368796520373245,96.0,13.21,-1.4383261970187045,relax
0.1890866554078673,0.29,6.465852934520725,8.391796520373259,96.0,13.2,-1.6232804812095152,relax
-0.1129850386254937,0.166,6.44485293452072,8.431796520373274,96.0,13.23,-1.718133762336238,relax
0.014308134342099,0.124,6.43585293452072,8.515796520373273,96.0,13.22,-1.762886988403161,relax
0.1869999072033926,0.124,6.427852934520724,8.629796520373258,96.0,13.21,-1.847541119770797,relax
0.1181176332919205,0.145,6.411852934520722,8.78679652037327,96.0,13.26,-1.9020971284941428,relax
-0.0863187448007244,0.186,6.392852934520719,8.969796520373265,91.0,13.23,-1.91655599766744,relax
-0.0852975698355224,0.145,6.3738529345207215,9.161796520373263,91.0,13.17,-1.940918720776236,relax
-0.0898161549980665,0.166,6.356852934520724,9.355796520373268,91.0,13.14,-1.965186301057421,relax
-0.0628812521700796,0.145,6.337852934520724,9.547796520373248,91.0,13.12,-2.089359750867553,relax
-0.0925092828270318,0.166,6.319852934520726,9.726796520373254,91.0,13.05,-2.2134400910602654,relax
-0.0327263184219266,0.269,6.307852934520727,9.885796520373264,91.0,13.0,-2.247428350372989,relax
0.0754321949703011,0.249,6.2978529345207175,10.015796520373266,91.0,12.98,-2.2113255648236443,relax
-0.0060780351430904,0.145,6.292852934520725,10.125796520373273,91.0,12.92,-2.1551327771172764,relax
0.1326906224541173,0.145,6.29585293452072,10.21079652037324,91.0,12.9,-2.158851036063289,relax
0.224678716134772,0.124,6.303852934520719,10.280796520373242,91.0,12.9,-2.162481396003276,relax
-0.0371790974595505,0.124,6.318852934520721,10.332796520373266,91.0,12.93,-2.146024916249654,relax
-0.0679526964949957,0.145,6.33985293452072,10.36879652037326,89.0,12.94,-2.089482660535213,relax
-0.0647150081977025,0.186,6.365852934520714,10.394796520373244,89.0,12.94,-2.012855696473562,relax
-0.075540435177254,0.104,6.396852934520725,10.419796520373238,89.0,12.97,-1.91614509503046,relax
-0.0865032372794887,0.166,6.431852934520724,10.44979652037325,89.0,13.03,-1.879351930006043,relax
-0.0286759135742413,0.166,6.467852934520725,10.492796520373266,89.0,13.06,-1.662477277527569,relax
-0.0871276287954021,0.166,6.506852934520727,10.54579652037327,89.0,13.03,-1.385522215552731,relax
0.204077273142973,0.331,6.545852934520727,10.606796520373267,89.0,12.99,-1.058487823383079,relax
-0.1011193710481683,0.228,6.585852934520724,10.678796520373274,89.0,12.99,-0.8013751811873512,relax
0.0412316537169874,0.124,6.627852934520725,10.752796520373264,89.0,12.99,-0.5441853695342913,relax
0.2030879464867256,0.124,6.666852934520719,10.82679652037326,80.0,13.0,-0.256919468934635,relax
0.1544162797094442,0.166,6.706852934520714,10.88879652037324,80.0,13.0,0.0404214406083103,relax
-0.0568068447164248,0.145,6.743852934520718,10.940796520373269,80.0,12.97,0.3578362800397963,relax
